ID,stockNum,stockName,date,filename,inputTime,username
57,3026,禾伸堂,2018_06_02,3026_禾伸堂_2018-06-02_下午7:05:57.txt,下午7:05:57,c21221203
58,2324,仁寶,2018_06_02,2324_仁寶_2018-06-02_下午7:06:07.txt,下午7:06:07,c21221203
59,1215,卜蜂,2018_06_02,1215_卜蜂_2018-06-02_下午7:06:15.txt,下午7:06:15,c21221203
60,1905,華紙,2018_06_02,1905_華紙_2018-06-02_下午7:06:27.txt,下午7:06:27,c21221203
61,2615,萬海,2018_06_02,2615_萬海_2018-06-02_下午7:06:54.txt,下午7:06:54,c21221203
62,2615,萬海,2018_06_02,2615_萬海_2018-06-02_下午7:07:14.txt,下午7:07:14,c21221203
63,3646,艾恩特,2018_06_02,3646_艾恩特_2018-06-02_下午7:07:23.txt,下午7:07:23,c21221203
64,1905,華紙,2018_06_02,1905_華紙_2018-06-02_下午7:07:31.txt,下午7:07:31,c21221203
65,1101,台泥,2018_06_02,1101_台泥_2018-06-02_下午7:07:41.txt,下午7:07:41,c21221203
66,2882,國泰金,2018_06_02,2882_國泰金_2018-06-02_下午7:07:49.txt,下午7:07:49,c21221203
67,8499,鼎炫-KY,2018_06_02,8499_鼎炫-KY_2018-06-02_下午7:07:59.txt,下午7:07:59,c21221203
68,8489,三貝德,2018_06_02,8489_三貝德_2018-06-02_下午7:08:09.txt,下午7:08:09,c21221203
69,2636,台驊投控,2018_06_02,2636_台驊投控_2018-06-02_下午7:08:20.txt,下午7:08:20,c21221203
70,2464,盟立,2018_06_02,2464_盟立_2018-06-02_下午7:08:42.txt,下午7:08:42,c21221203
71,2356,英業達,2018_06_02,2356_英業達_2018-06-02_下午7:08:51.txt,下午7:08:51,c21221203
72,3189,景碩,2018_06_02,3189_景碩_2018-06-02_下午7:08:59.txt,下午7:08:59,c21221203
73,2881,富邦金,2018_06_02,2881_富邦金_2018-06-02_下午7:09:10.txt,下午7:09:10,c21221203
74,6560,欣普羅,2018_06_02,6560_欣普羅_2018-06-02_下午7:12:52.txt,下午7:12:52,c21221203
75,2347,聯強,2018_06_02,2347_聯強_2018-06-02_下午7:13:00.txt,下午7:13:00,c21221203
76,5469,瀚宇博,2018_06_02,5469_瀚宇博_2018-06-02_下午7:13:17.txt,下午7:13:17,c21221203
77,3090,日電貿,2018_06_02,3090_日電貿_2018-06-02_下午7:13:23.txt,下午7:13:23,c21221203
78,2382,廣達,2018_06_02,2382_廣達_2018-06-02_下午7:13:31.txt,下午7:13:31,c21221203
79,1303,南亞,2018_06_02,1303_南亞_2018-06-02_下午7:13:39.txt,下午7:13:39,c21221203
80,1319,東陽,2018_06_02,1319_東陽_2018-06-02_下午7:13:45.txt,下午7:13:45,c21221203
