stockNum,stockName,date,filePath,inputTime,username
2464,盟立,2018-06-02,2464_盟立_2018-06-02.txt,下午7:08:42,c21221203
2356,英業達,2018-06-02,2356_英業達_2018-06-02.txt,下午7:08:51,c21221203
3189,景碩,2018-06-02,3189_景碩_2018-06-02.txt,下午7:08:59,c21221203
2881,富邦金,2018-06-02,2881_富邦金_2018-06-02.txt,下午7:09:10,c21221203
6560,欣普羅,2018-06-02,6560_欣普羅_2018-06-02.txt,下午7:12:52,c21221203
2347,聯強,2018-06-02,2347_聯強_2018-06-02.txt,下午7:13:00,c21221203
5469,瀚宇博,2018-06-02,5469_瀚宇博_2018-06-02.txt,下午7:13:17,c21221203
3090,日電貿,2018-06-02,3090_日電貿_2018-06-02.txt,下午7:13:23,c21221203
2382,廣達,2018-06-02,2382_廣達_2018-06-02.txt,下午7:13:31,c21221203
1303,南亞,2018-06-02,1303_南亞_2018-06-02.txt,下午7:13:39,c21221203
1319,東陽,2018-06-02,1319_東陽_2018-06-02.txt,下午7:13:45,c21221203
4938,和碩,2018-06-02,4938_和碩_2018-06-02.txt,下午7:13:54,c21221203
6648,斯其大,2018-06-02,6648_斯其大_2018-06-02.txt,下午7:14:01,c21221203
2049,上銀,2018-06-02,2049_上銀_2018-06-02.txt,下午7:14:09,c21221203
6277,宏正,2018-06-02,6277_宏正_2018-06-02.txt,下午7:14:19,c21221203
4152,台微體,2018-06-02,4152_台微體_2018-06-02.txt,下午7:14:25,c21221203
2929,淘帝-KY,2018-06-02,2929_淘帝-KY_2018-06-02.txt,下午7:14:31,c21221203
1319,東陽,2018-06-02,1319_東陽_2018-06-02.txt,下午7:14:39,c21221203
3529,力旺,2018-06-02,3529_力旺_2018-06-02.txt,下午7:14:45,c21221203
2891,中信金,2018-06-02,2891_中信金_2018-06-02.txt,下午7:14:52,c21221203
4938,和碩,2018-06-02,4938_和碩_2018-06-02.txt,下午7:14:59,c21221203
2049,上銀,2018-06-02,2049_上銀_2018-06-02.txt,下午7:15:07,c21221203
6560,欣普羅,2018-06-02,6560_欣普羅_2018-06-02.txt,下午7:15:27,c21221203
5871,中租-KY,2018-06-02,5871_中租-KY_2018-06-02.txt,下午7:15:34,c21221203
5871,中租-KY,2018-06-02,5871_中租-KY_2018-06-02.txt,下午7:15:44,c21221203
3698,隆達,2018-06-02,3698_隆達_2018-06-02.txt,下午7:15:51,c21221203
1723,中碳,2018-06-02,1723_中碳_2018-06-02.txt,下午7:15:58,c21221203
3035,智原,2018-06-02,3035_智原_2018-06-02.txt,下午7:16:07,c21221203
2481,強茂,2018-06-03,2481_強茂_2018-06-03.txt,8:28:06 PM,popowing
6432,今展科,2018-06-05,6432_今展科_2018-06-05.txt,下午10:33:33,c21221203
6279,胡連,2018-06-06,6279_胡連_2018-06-06.txt,3:44:18 PM,popowing
4736,泰博,2018-06-06,4736_泰博_2018-06-06.txt,4:35:11 PM,popowing
5007,三星,2018-06-06,5007_三星_2018-06-06.txt,4:40:08 PM,popowing
8942,森鉅,2018-06-06,8942_森鉅_2018-06-06.txt,4:40:51 PM,popowing
4739,康普,2018-06-06,4739_康普_2018-06-06.txt,4:49:53 PM,popowing
3653,健策,2018-06-07,3653_健策_2018-06-07.txt,10:05:17 PM,popowing
3653,健策,2018-06-07,3653_健策_2018-06-07.txt,10:06:57 PM,popowing
2327,國巨,2018-06-11,2327_國巨_2018-06-11.txt,下午4:49:28,popowing
2327,國巨,2018-06-11,2327_國巨_2018-06-11.txt,下午8:10:53,c21221203
5349,先豐,2018-06-11,5349_先豐_2018-06-11.txt,下午8:11:57,c21221203
1568,倉佑,2018-06-11,1568_倉佑_2018-06-11.txt,下午8:12:20,c21221203
3008,大立光,2018-06-13,3008_大立光_2018-06-13.txt,6:54:03 AM,popowing
4566,時碩工業,2018-06-13,4566_時碩工業_2018-06-13.txt,4:58:33 PM,popowing
3189,景碩,2018-06-13,3189_景碩_2018-06-13.txt,7:36:30 PM,popowing
3354,律勝,2018-06-13,3354_律勝_2018-06-13.txt,10:54:51 PM,popowing
9951,皇田,2018-06-15,9951_皇田_2018-06-15.txt,4:08:19 PM,popowing
8942,森鉅,2018-06-15,8942_森鉅_2018-06-15.txt,4:09:36 PM,popowing
2017,官田鋼,2018-06-16,2017_官田鋼_2018-06-16.txt,11:09:59 AM,popowing
1229,聯華,2018-06-18,1229_聯華_2018-06-18.txt,下午12:00:40,c21221203
5347,世界,2018-06-18,5347_世界_2018-06-18.txt,下午12:01:25,c21221203
2342,茂矽,2018-06-18,2342_茂矽_2018-06-18.txt,下午12:01:52,c21221203
1532,勤美,2018-06-18,1532_勤美_2018-06-18.txt,下午12:02:26,c21221203
4991,環宇-KY,2018-06-18,4991_環宇-KY_2018-06-18.txt,下午12:02:44,c21221203
2017,官田鋼,2018-06-18,2017_官田鋼_2018-06-18.txt,下午12:03:05,c21221203
3019,亞光,2018-06-18,3019_亞光_2018-06-18.txt,下午12:06:00,c21221203
3189,景碩,2018-06-18,3189_景碩_2018-06-18.txt,下午12:06:24,c21221203
8499,鼎炫-KY,2018-06-18,8499_鼎炫-KY_2018-06-18.txt,下午12:06:38,c21221203
1560,中砂,2018-06-18,1560_中砂_2018-06-18.txt,下午12:06:50,c21221203
1560,中砂,2018-06-18,1560_中砂_2018-06-18.txt,下午12:07:05,c21221203
4912,聯德控股-KY,2018-06-18,4912_聯德控股-KY_2018-06-18.txt,下午12:07:21,c21221203
4912,聯德控股-KY,2018-06-18,4912_聯德控股-KY_2018-06-18.txt,下午12:07:34,c21221203
3376,新日興,2018-06-18,3376_新日興_2018-06-18.txt,下午12:07:47,c21221203
9934,成霖,2018-06-18,9934_成霖_2018-06-18.txt,下午12:39:36,c21221203
1597,直得,2018-06-18,1597_直得_2018-06-18.txt,下午12:39:41,c21221203
2233,宇隆,2018-06-18,2233_宇隆_2018-06-18.txt,下午12:40:19,c21221203
4554,橙的,2018-06-18,4554_橙的_2018-06-18.txt,下午12:40:50,c21221203
3042,晶技,2018-06-18,3042_晶技_2018-06-18.txt,下午12:41:11,c21221203
6456,GIS-KY,2018-06-18,6456_GIS-KY_2018-06-18.txt,下午12:41:50,c21221203
6456,GIS-KY,2018-06-18,6456_GIS-KY_2018-06-18.txt,下午12:42:10,c21221203
6573,虹揚-KY,2018-06-18,6573_虹揚-KY_2018-06-18.txt,下午12:42:34,c21221203
4566,時碩工業,2018-06-18,4566_時碩工業_2018-06-18.txt,下午12:42:49,c21221203
