股票代號,股票名稱,日期,檔案路徑,輸入時間,Username
3310.0,佳穎,2018_06_02,/home/cosbi/桌面/financialData/lineMemo_data/3310_佳穎_2018-06-02_下午7:01:18.txt,下午7:01:18,c21221203
3026.0,禾伸堂,2018_06_02,/home/cosbi/桌面/financialData/lineMemo_data/3026_禾伸堂_2018-06-02_下午7:01:29.txt,下午7:01:29,c21221203
2327.0,國巨,2018_06_02,/home/cosbi/桌面/financialData/lineMemo_data/2327_國巨_2018-06-02_下午7:02:05.txt,下午7:02:05,c21221203
1305.0,華夏,2018_06_02,/home/cosbi/桌面/financialData/lineMemo_data/1305_華夏_2018-06-02_下午7:02:20.txt,下午7:02:20,c21221203
6213.0,聯茂,2018_06_02,/home/cosbi/桌面/financialData/lineMemo_data/6213_聯茂_2018-06-02_下午7:02:45.txt,下午7:02:45,c21221203
6153.0,嘉聯益,2018_06_02,/home/cosbi/桌面/financialData/lineMemo_data/6153_嘉聯益_2018-06-02_下午7:03:00.txt,下午7:03:00,c21221203
1309.0,台達化,2018_06_02,/home/cosbi/桌面/financialData/lineMemo_data/1309_台達化_2018-06-02_下午7:03:17.txt,下午7:03:17,c21221203
6238.0,勝麗,2018_06_02,/home/cosbi/桌面/financialData/lineMemo_data/6238_勝麗_2018-06-02_下午7:04:03.txt,下午7:04:03,c21221203
3413.0,京鼎,2018_06_02,/home/cosbi/桌面/financialData/lineMemo_data/3413_京鼎_2018-06-02_下午7:04:13.txt,下午7:04:13,c21221203
4142.0,國光生,2018_06_02,/home/cosbi/桌面/financialData/lineMemo_data/4142_國光生_2018-06-02_下午7:04:24.txt,下午7:04:24,c21221203
4107.0,邦特,2018_06_02,/home/cosbi/桌面/financialData/lineMemo_data/4107_邦特_2018-06-02_下午7:04:34.txt,下午7:04:34,c21221203
6591.0,動力-KY,2018_06_02,/home/cosbi/桌面/financialData/lineMemo_data/6591_動力-KY_2018-06-02_下午7:04:49.txt,下午7:04:49,c21221203
2377.0,微星,2018_06_02,/home/cosbi/桌面/financialData/lineMemo_data/2377_微星_2018-06-02_下午7:04:58.txt,下午7:04:58,c21221203
6576.0,逸達,2018_06_02,/home/cosbi/桌面/financialData/lineMemo_data/6576_逸達_2018-06-02_下午7:05:10.txt,下午7:05:10,c21221203
1904.0,正隆,2018_06_02,/home/cosbi/桌面/financialData/lineMemo_data/1904_正隆_2018-06-02_下午7:05:23.txt,下午7:05:23,c21221203
2377.0,微星,2018_06_02,/home/cosbi/桌面/financialData/lineMemo_data/2377_微星_2018-06-02_下午7:05:34.txt,下午7:05:34,c21221203
4163.0,鐿鈦,2018_06_02,/home/cosbi/桌面/financialData/lineMemo_data/4163_鐿鈦_2018-06-02_下午7:05:47.txt,下午7:05:47,c21221203
3026.0,禾伸堂,2018_06_02,/home/cosbi/桌面/financialData/lineMemo_data/3026_禾伸堂_2018-06-02_下午7:05:57.txt,下午7:05:57,c21221203
2324.0,仁寶,2018_06_02,/home/cosbi/桌面/financialData/lineMemo_data/2324_仁寶_2018-06-02_下午7:06:07.txt,下午7:06:07,c21221203
1215.0,卜蜂,2018_06_02,/home/cosbi/桌面/financialData/lineMemo_data/1215_卜蜂_2018-06-02_下午7:06:15.txt,下午7:06:15,c21221203
1905.0,華紙,2018_06_02,/home/cosbi/桌面/financialData/lineMemo_data/1905_華紙_2018-06-02_下午7:06:27.txt,下午7:06:27,c21221203
2615.0,萬海,2018_06_02,/home/cosbi/桌面/financialData/lineMemo_data/2615_萬海_2018-06-02_下午7:06:54.txt,下午7:06:54,c21221203
2615.0,萬海,2018_06_02,/home/cosbi/桌面/financialData/lineMemo_data/2615_萬海_2018-06-02_下午7:07:14.txt,下午7:07:14,c21221203
3646.0,艾恩特,2018_06_02,/home/cosbi/桌面/financialData/lineMemo_data/3646_艾恩特_2018-06-02_下午7:07:23.txt,下午7:07:23,c21221203
1905.0,華紙,2018_06_02,/home/cosbi/桌面/financialData/lineMemo_data/1905_華紙_2018-06-02_下午7:07:31.txt,下午7:07:31,c21221203
1101.0,台泥,2018_06_02,/home/cosbi/桌面/financialData/lineMemo_data/1101_台泥_2018-06-02_下午7:07:41.txt,下午7:07:41,c21221203
2882.0,國泰金,2018_06_02,/home/cosbi/桌面/financialData/lineMemo_data/2882_國泰金_2018-06-02_下午7:07:49.txt,下午7:07:49,c21221203
8499.0,鼎炫-KY,2018_06_02,/home/cosbi/桌面/financialData/lineMemo_data/8499_鼎炫-KY_2018-06-02_下午7:07:59.txt,下午7:07:59,c21221203
8489.0,三貝德,2018_06_02,/home/cosbi/桌面/financialData/lineMemo_data/8489_三貝德_2018-06-02_下午7:08:09.txt,下午7:08:09,c21221203
2636.0,台驊投控,2018_06_02,/home/cosbi/桌面/financialData/lineMemo_data/2636_台驊投控_2018-06-02_下午7:08:20.txt,下午7:08:20,c21221203
2464.0,盟立,2018_06_02,/home/cosbi/桌面/financialData/lineMemo_data/2464_盟立_2018-06-02_下午7:08:42.txt,下午7:08:42,c21221203
2356.0,英業達,2018_06_02,/home/cosbi/桌面/financialData/lineMemo_data/2356_英業達_2018-06-02_下午7:08:51.txt,下午7:08:51,c21221203
